Date,Iteration,Actual,Predicted
2019-02-01,19,132.71,130.80359
2019-03-01,19,132.71,130.80359
2019-04-01,19,132.71,130.80359
2019-05-01,18,132.71,132.67639
2019-06-01,18,132.71,132.67639
2019-07-01,18,136.54,132.67639
2019-08-01,17,136.54,134.90486
2019-09-01,17,136.54,134.90486
2019-10-01,17,136.54,134.90486
2019-11-01,16,136.54,135.5633
2019-12-01,16,136.54,135.5633
2020-01-01,16,139.93,135.5633
2020-02-01,15,139.93,136.52415
2020-03-01,15,139.93,136.52415
2020-04-01,15,139.93,136.52415
2020-05-01,14,139.93,139.14584
2020-06-01,14,139.93,139.14584
2020-07-01,14,143.74,139.14584
2020-08-01,13,143.74,139.9131
2020-09-01,13,143.74,139.9131
2020-10-01,13,143.74,140.61197
2020-11-01,12,143.74,143.70354
2020-12-01,12,143.74,143.70354
2021-01-01,12,146.35,143.70354
2021-02-01,11,146.35,145.17792
2021-03-01,11,146.35,145.17792
2021-04-01,11,146.35,145.17792
2021-05-01,10,146.35,146.31473
2021-06-01,10,146.35,146.31473
2021-07-01,10,149.28,146.31473
2021-08-01,9,149.28,148.51254
2021-09-01,9,149.28,148.51254
2021-10-01,9,149.28,148.51254
2021-11-01,8,149.28,149.2433
2021-12-01,8,149.28,149.2433
2022-01-01,8,154.55,149.2433
2022-02-01,7,154.55,153.70114
2022-03-01,7,154.55,153.70114
2022-04-01,7,154.55,153.70114
2022-05-01,6,154.55,154.51
2022-06-01,6,154.55,154.51
2022-07-01,6,158.05,154.51
2022-08-01,5,158.05,156.26645
2022-09-01,5,158.05,156.26645
2022-10-01,5,158.05,156.26645
2022-11-01,4,158.05,158.00996
2022-12-01,4,158.05,158.00996
2023-01-01,4,163.13,158.00996
2023-02-01,3,163.13,161.18225
2023-03-01,3,163.13,161.18225
2023-04-01,3,163.13,161.18225
2023-05-01,2,163.13,163.0876
2023-06-01,2,163.13,163.0876
2023-07-01,2,168.53,163.0876
2023-08-01,1,168.53,166.45427
2023-09-01,1,168.53,166.45427
2023-10-01,1,168.53,166.45427
2023-11-01,0,168.53,168.48569
2023-12-01,0,168.53,168.48569
2024-01-01,0,171.64,168.48569
