lag,mse,rmse,mae,mape
1,0.1447558529953019,0.3804679395104164,0.32783422426958947,0.00249813668777994
2,0.23977008654708373,0.4896632378962951,0.37453218101830527,0.0028520268890598146
3,0.5928310975107912,0.7699552568239217,0.5260094066378164,0.004008733051293391
4,1.3464303448072306,1.1603578520470443,0.9804878061640588,0.007463528719080194
5,1.4488325156938355,1.2036745887879479,1.016811749828572,0.007736160642602321
6,1.7700816476922128,1.3304441542929237,1.070124738005769,0.0081347501582994
7,3.47874754142032,1.8651400862724279,1.6743327425164314,0.012746989120623302
8,5.0504311086690405,2.24731642379729,1.9702432503163838,0.015003609236216317
9,4.3130152426865225,2.0767800178850244,1.9302702560134837,0.014705027994326533
10,9.369915551020688,3.0610317788322106,2.6300577011964044,0.020026672124107314
11,14.759238797667573,3.841775474655901,3.253207432580396,0.024761312711894367
12,23.55025739268953,4.852860743179175,4.273527558737297,0.03252568746252853
