Date,Iteration,Actual,Predicted
2019-02-01,19,119.26,118.95851101282504
2019-03-01,19,119.41,119.15999903111081
2019-04-01,19,119.37,119.37783524445125
2019-05-01,18,119.39,119.29109681345207
2019-06-01,18,119.36,119.2848538334899
2019-07-01,18,121.2,119.35947156348695
2019-08-01,17,121.34,121.15285535520923
2019-09-01,17,121.23,121.30553266364791
2019-10-01,17,120.93,121.29133578438007
2019-11-01,16,120.7,120.86669810641656
2019-12-01,16,120.68,120.81884580699405
2020-01-01,16,122.49,122.12299553912642
2020-02-01,15,122.69,122.46415517929773
2020-03-01,15,122.49,122.6929571192766
2020-04-01,15,122.21,122.41090615696143
2020-05-01,14,122.08,122.06772087612687
2020-06-01,14,122.08,121.97066096046358
2020-07-01,14,123.97,122.34425799195814
2020-08-01,13,124.1,123.86655239052736
2020-09-01,13,124.14,123.99841629708526
2020-10-01,13,124.12,124.16147412998093
2020-11-01,12,124.39,124.10670034724485
2020-12-01,12,125.05,124.62881268939937
2021-01-01,12,127.7,126.07428301564501
2021-02-01,11,128.37,127.76561847926925
2021-03-01,11,129.29,128.48725272594217
2021-04-01,11,130.98,129.36036364068988
2021-05-01,10,132.49,131.068870443146
2021-06-01,10,133.96,132.6430531926561
2021-07-01,10,136.47,134.1191187329198
2021-08-01,9,137.54,136.4574696211367
2021-09-01,9,138.2,137.41964425577643
2021-10-01,9,139.03,138.11773814308728
2021-11-01,8,139.74,139.18132167683166
2021-12-01,8,139.94,140.017151741436
2022-01-01,8,143.34,140.65661935403955
2022-02-01,7,143.82,143.87807691293318
2022-03-01,7,145.21,144.02794176071274
2022-04-01,7,146.6,145.7403048825259
2022-05-01,6,146.86,146.81914194699164
2022-06-01,6,146.8,147.08090844922924
2022-07-01,6,148.61,147.2458186984568
2022-08-01,5,148.15,148.76791612704318
2022-09-01,5,148.74,148.34161210460394
2022-10-01,5,148.8,149.13945878262388
2022-11-01,4,148.87,148.77357239963277
2022-12-01,4,148.61,149.10454611262656
2023-01-01,4,151.26,149.85065320023574
2023-02-01,3,151.58,151.6639507316052
2023-03-01,3,151.73,151.72852561300652
2023-04-01,3,151.73,151.93954945663
2023-05-01,2,151.5,151.8778065160405
2023-06-01,2,151.52,151.75483659209368
2023-07-01,2,154.05,152.22050381212188
2023-08-01,1,153.97,154.11349926744265
2023-09-01,1,153.89,153.96525062481896
2023-10-01,1,153.8,153.6227558065017
2023-11-01,0,153.72,153.826167755788
2023-12-01,0,153.3,153.9487987646312
2024-01-01,0,154.79,157.6521145901171
