,Differencing_Order
tar4,1
var1,1
var2,1
var3,1
var4,1
var5,1
var6,1
var7,1
var8,1
var9,1
var10,1
var11,1
var12,1
var13,1
var14,1
var15,1
var16,1
var17,1
var18,1
var56,2
var57,2
var58,2
var59,2
var60,2
var61,2
var62,1
var63,1
var64,1
var65,1
var66,1
var67,1
var68,1
var69,1
var70,1
var71,1
var72,1
var73,1
var74,1
var75,1
var76,1
var89,1
var90,1
var91,1
var92,1
var93,1
var94,1
var95,1
var96,2
var97,1
var98,1
var99,1
var100,1
var101,1
var110,1
var111,1
var116,0
var117,0
var118,1
var119,1
var120,1
var131,2
var132,2
var137,1
var138,1
